Datum,Jahr,Monat,Monatsnummer,Branchencode,Branche,Eroeffnet,Mangels_Masse_Abgewiesen,Gesamt,mangel_ratio
2021-02,2021,Februar,2,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,93.0,40.0,133.0,43.0
2021-02,2021,Februar,2,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2021-02,2021,Februar,2,WZ08-P,Erziehung und Unterricht,13.0,1.0,14.0,7.7
2021-02,2021,Februar,2,WZ08-Q,Gesundheits- und Sozialwesen,24.0,1.0,25.0,4.2
2021-02,2021,Februar,2,WZ08-R,"Kunst, Unterhaltung und Erholung",23.0,5.0,28.0,21.7
2021-02,2021,Februar,2,WZ08-S,Erbringung von sonstigen Dienstleistungen,46.0,26.0,72.0,56.5
2021-03,2021,März,3,WZ08-A,"Land- und Forstwirtschaft, Fischerei",14.0,,,
2021-03,2021,März,3,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,1.0,,,
2021-03,2021,März,3,WZ08-C,Verarbeitendes Gewerbe,82.0,24.0,106.0,29.3
2021-03,2021,März,3,WZ08-D,Energieversorgung,5.0,,,
2021-03,2021,März,3,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",4.0,,,
2021-03,2021,März,3,WZ08-F,Baugewerbe,203.0,61.0,264.0,30.0
2021-03,2021,März,3,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",144.0,55.0,199.0,38.2
2021-03,2021,März,3,WZ08-H,Verkehr und Lagerei,86.0,19.0,105.0,22.1
2021-03,2021,März,3,WZ08-I,Gastgewerbe,112.0,47.0,159.0,42.0
2021-03,2021,März,3,WZ08-J,Information und Kommunikation,28.0,14.0,42.0,50.0
2021-03,2021,März,3,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,17.0,15.0,32.0,88.2
2021-03,2021,März,3,WZ08-L,Grundstücks- und Wohnungswesen,27.0,10.0,37.0,37.0
2021-03,2021,März,3,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",107.0,56.0,163.0,52.3
2021-03,2021,März,3,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,115.0,32.0,147.0,27.8
2021-03,2021,März,3,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2021-03,2021,März,3,WZ08-P,Erziehung und Unterricht,17.0,,,
2021-03,2021,März,3,WZ08-Q,Gesundheits- und Sozialwesen,29.0,6.0,35.0,20.7
2021-03,2021,März,3,WZ08-R,"Kunst, Unterhaltung und Erholung",25.0,12.0,37.0,48.0
2021-03,2021,März,3,WZ08-S,Erbringung von sonstigen Dienstleistungen,70.0,22.0,92.0,31.4
2021-04,2021,April,4,WZ08-A,"Land- und Forstwirtschaft, Fischerei",8.0,,,
2021-04,2021,April,4,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2021-04,2021,April,4,WZ08-C,Verarbeitendes Gewerbe,100.0,8.0,108.0,8.0
2021-04,2021,April,4,WZ08-D,Energieversorgung,8.0,2.0,10.0,25.0
2021-04,2021,April,4,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,1.0,2.0,100.0
2021-04,2021,April,4,WZ08-F,Baugewerbe,156.0,59.0,215.0,37.8
2021-04,2021,April,4,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",134.0,61.0,195.0,45.5
2021-04,2021,April,4,WZ08-H,Verkehr und Lagerei,70.0,18.0,88.0,25.7
2021-04,2021,April,4,WZ08-I,Gastgewerbe,91.0,40.0,131.0,44.0
2021-04,2021,April,4,WZ08-J,Information und Kommunikation,34.0,21.0,55.0,61.8
2021-04,2021,April,4,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,16.0,14.0,30.0,87.5
2021-04,2021,April,4,WZ08-L,Grundstücks- und Wohnungswesen,23.0,19.0,42.0,82.6
2021-04,2021,April,4,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",82.0,44.0,126.0,53.7
2021-04,2021,April,4,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,108.0,34.0,142.0,31.5
2021-04,2021,April,4,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2021-04,2021,April,4,WZ08-P,Erziehung und Unterricht,18.0,5.0,23.0,27.8
2021-04,2021,April,4,WZ08-Q,Gesundheits- und Sozialwesen,43.0,4.0,47.0,9.3
2021-04,2021,April,4,WZ08-R,"Kunst, Unterhaltung und Erholung",22.0,11.0,33.0,50.0
2021-04,2021,April,4,WZ08-S,Erbringung von sonstigen Dienstleistungen,54.0,24.0,78.0,44.4
2021-05,2021,Mai,5,WZ08-A,"Land- und Forstwirtschaft, Fischerei",6.0,1.0,7.0,16.7
2021-05,2021,Mai,5,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2021-05,2021,Mai,5,WZ08-C,Verarbeitendes Gewerbe,68.0,12.0,80.0,17.6
2021-05,2021,Mai,5,WZ08-D,Energieversorgung,4.0,1.0,5.0,25.0
2021-05,2021,Mai,5,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,1.0,2.0,100.0
2021-05,2021,Mai,5,WZ08-F,Baugewerbe,137.0,43.0,180.0,31.4
2021-05,2021,Mai,5,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",113.0,55.0,168.0,48.7
2021-05,2021,Mai,5,WZ08-H,Verkehr und Lagerei,53.0,25.0,78.0,47.2
2021-05,2021,Mai,5,WZ08-I,Gastgewerbe,74.0,40.0,114.0,54.1
2021-05,2021,Mai,5,WZ08-J,Information und Kommunikation,22.0,16.0,38.0,72.7
2021-05,2021,Mai,5,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,14.0,10.0,24.0,71.4
2021-05,2021,Mai,5,WZ08-L,Grundstücks- und Wohnungswesen,28.0,14.0,42.0,50.0
2021-05,2021,Mai,5,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",67.0,50.0,117.0,74.6
2021-05,2021,Mai,5,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,93.0,40.0,133.0,43.0
2021-05,2021,Mai,5,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2021-05,2021,Mai,5,WZ08-P,Erziehung und Unterricht,7.0,3.0,10.0,42.9
2021-05,2021,Mai,5,WZ08-Q,Gesundheits- und Sozialwesen,12.0,5.0,17.0,41.7
2021-05,2021,Mai,5,WZ08-R,"Kunst, Unterhaltung und Erholung",10.0,8.0,18.0,80.0
2021-05,2021,Mai,5,WZ08-S,Erbringung von sonstigen Dienstleistungen,58.0,25.0,83.0,43.1
2021-06,2021,Juni,6,WZ08-A,"Land- und Forstwirtschaft, Fischerei",7.0,1.0,8.0,14.3
2021-06,2021,Juni,6,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2021-06,2021,Juni,6,WZ08-C,Verarbeitendes Gewerbe,61.0,13.0,74.0,21.3
2021-06,2021,Juni,6,WZ08-D,Energieversorgung,10.0,2.0,12.0,20.0
2021-06,2021,Juni,6,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",3.0,,,
2021-06,2021,Juni,6,WZ08-F,Baugewerbe,155.0,61.0,216.0,39.4
2021-06,2021,Juni,6,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",140.0,61.0,201.0,43.6
2021-06,2021,Juni,6,WZ08-H,Verkehr und Lagerei,53.0,21.0,74.0,39.6
2021-06,2021,Juni,6,WZ08-I,Gastgewerbe,91.0,31.0,122.0,34.1
2021-06,2021,Juni,6,WZ08-J,Information und Kommunikation,24.0,9.0,33.0,37.5
2021-06,2021,Juni,6,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,24.0,4.0,28.0,16.7
2021-06,2021,Juni,6,WZ08-L,Grundstücks- und Wohnungswesen,26.0,12.0,38.0,46.2
2021-06,2021,Juni,6,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",65.0,49.0,114.0,75.4
2021-06,2021,Juni,6,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,92.0,39.0,131.0,42.4
2021-06,2021,Juni,6,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2021-06,2021,Juni,6,WZ08-P,Erziehung und Unterricht,11.0,4.0,15.0,36.4
2021-06,2021,Juni,6,WZ08-Q,Gesundheits- und Sozialwesen,22.0,6.0,28.0,27.3
2021-06,2021,Juni,6,WZ08-R,"Kunst, Unterhaltung und Erholung",19.0,14.0,33.0,73.7
2021-06,2021,Juni,6,WZ08-S,Erbringung von sonstigen Dienstleistungen,51.0,16.0,67.0,31.4
2021-07,2021,Juli,7,WZ08-A,"Land- und Forstwirtschaft, Fischerei",8.0,,,
2021-07,2021,Juli,7,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2021-07,2021,Juli,7,WZ08-C,Verarbeitendes Gewerbe,59.0,18.0,77.0,30.5
2021-07,2021,Juli,7,WZ08-D,Energieversorgung,5.0,3.0,8.0,60.0
2021-07,2021,Juli,7,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",2.0,,,
2021-07,2021,Juli,7,WZ08-F,Baugewerbe,161.0,61.0,222.0,37.9
2021-07,2021,Juli,7,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",137.0,52.0,189.0,38.0
2021-07,2021,Juli,7,WZ08-H,Verkehr und Lagerei,53.0,23.0,76.0,43.4
2021-07,2021,Juli,7,WZ08-I,Gastgewerbe,86.0,38.0,124.0,44.2
2021-07,2021,Juli,7,WZ08-J,Information und Kommunikation,30.0,17.0,47.0,56.7
2021-07,2021,Juli,7,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,10.0,15.0,25.0,150.0
2021-07,2021,Juli,7,WZ08-L,Grundstücks- und Wohnungswesen,25.0,9.0,34.0,36.0
2021-07,2021,Juli,7,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",78.0,53.0,131.0,67.9
2021-07,2021,Juli,7,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,83.0,39.0,122.0,47.0
2021-07,2021,Juli,7,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2021-07,2021,Juli,7,WZ08-P,Erziehung und Unterricht,11.0,3.0,14.0,27.3
2021-07,2021,Juli,7,WZ08-Q,Gesundheits- und Sozialwesen,26.0,4.0,30.0,15.4
2021-07,2021,Juli,7,WZ08-R,"Kunst, Unterhaltung und Erholung",19.0,2.0,21.0,10.5
2021-07,2021,Juli,7,WZ08-S,Erbringung von sonstigen Dienstleistungen,53.0,17.0,70.0,32.1
2021-08,2021,August,8,WZ08-A,"Land- und Forstwirtschaft, Fischerei",2.0,1.0,3.0,50.0
2021-08,2021,August,8,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2021-08,2021,August,8,WZ08-C,Verarbeitendes Gewerbe,47.0,17.0,64.0,36.2
2021-08,2021,August,8,WZ08-D,Energieversorgung,2.0,,,
2021-08,2021,August,8,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,,,
2021-08,2021,August,8,WZ08-F,Baugewerbe,122.0,68.0,190.0,55.7
2021-08,2021,August,8,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",95.0,46.0,141.0,48.4
2021-08,2021,August,8,WZ08-H,Verkehr und Lagerei,57.0,33.0,90.0,57.9
2021-08,2021,August,8,WZ08-I,Gastgewerbe,60.0,36.0,96.0,60.0
2021-08,2021,August,8,WZ08-J,Information und Kommunikation,21.0,10.0,31.0,47.6
2021-08,2021,August,8,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,21.0,7.0,28.0,33.3
2021-08,2021,August,8,WZ08-L,Grundstücks- und Wohnungswesen,42.0,15.0,57.0,35.7
2021-08,2021,August,8,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",63.0,27.0,90.0,42.9
2021-08,2021,August,8,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,67.0,43.0,110.0,64.2
2021-08,2021,August,8,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2021-08,2021,August,8,WZ08-P,Erziehung und Unterricht,8.0,3.0,11.0,37.5
2021-08,2021,August,8,WZ08-Q,Gesundheits- und Sozialwesen,24.0,5.0,29.0,20.8
2021-08,2021,August,8,WZ08-R,"Kunst, Unterhaltung und Erholung",8.0,8.0,16.0,100.0
2021-08,2021,August,8,WZ08-S,Erbringung von sonstigen Dienstleistungen,45.0,25.0,70.0,55.6
2021-09,2021,September,9,WZ08-A,"Land- und Forstwirtschaft, Fischerei",12.0,3.0,15.0,25.0
2021-09,2021,September,9,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2021-09,2021,September,9,WZ08-C,Verarbeitendes Gewerbe,71.0,7.0,78.0,9.9
2021-09,2021,September,9,WZ08-D,Energieversorgung,,3.0,,
2021-09,2021,September,9,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",2.0,3.0,5.0,150.0
2021-09,2021,September,9,WZ08-F,Baugewerbe,142.0,48.0,190.0,33.8
2021-09,2021,September,9,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",90.0,53.0,143.0,58.9
2021-09,2021,September,9,WZ08-H,Verkehr und Lagerei,72.0,22.0,94.0,30.6
2021-09,2021,September,9,WZ08-I,Gastgewerbe,78.0,19.0,97.0,24.4
2021-09,2021,September,9,WZ08-J,Information und Kommunikation,19.0,13.0,32.0,68.4
2021-09,2021,September,9,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,11.0,13.0,24.0,118.2
2021-09,2021,September,9,WZ08-L,Grundstücks- und Wohnungswesen,34.0,11.0,45.0,32.4
2021-09,2021,September,9,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",62.0,29.0,91.0,46.8
2021-09,2021,September,9,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,73.0,31.0,104.0,42.5
2021-09,2021,September,9,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2021-09,2021,September,9,WZ08-P,Erziehung und Unterricht,8.0,2.0,10.0,25.0
2021-09,2021,September,9,WZ08-Q,Gesundheits- und Sozialwesen,16.0,2.0,18.0,12.5
2021-09,2021,September,9,WZ08-R,"Kunst, Unterhaltung und Erholung",9.0,6.0,15.0,66.7
2021-09,2021,September,9,WZ08-S,Erbringung von sonstigen Dienstleistungen,58.0,23.0,81.0,39.7
2021-10,2021,Oktober,10,WZ08-A,"Land- und Forstwirtschaft, Fischerei",5.0,1.0,6.0,20.0
2021-10,2021,Oktober,10,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,2.0,,,
2021-10,2021,Oktober,10,WZ08-C,Verarbeitendes Gewerbe,63.0,7.0,70.0,11.1
2021-10,2021,Oktober,10,WZ08-D,Energieversorgung,2.0,2.0,4.0,100.0
2021-10,2021,Oktober,10,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,,,
2021-10,2021,Oktober,10,WZ08-F,Baugewerbe,133.0,60.0,193.0,45.1
2021-10,2021,Oktober,10,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",108.0,52.0,160.0,48.1
2021-10,2021,Oktober,10,WZ08-H,Verkehr und Lagerei,67.0,23.0,90.0,34.3
2021-10,2021,Oktober,10,WZ08-I,Gastgewerbe,56.0,36.0,92.0,64.3
2021-10,2021,Oktober,10,WZ08-J,Information und Kommunikation,19.0,14.0,33.0,73.7
2021-10,2021,Oktober,10,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,11.0,7.0,18.0,63.6
2021-10,2021,Oktober,10,WZ08-L,Grundstücks- und Wohnungswesen,32.0,13.0,45.0,40.6
2021-10,2021,Oktober,10,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",64.0,31.0,95.0,48.4
2021-10,2021,Oktober,10,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,85.0,34.0,119.0,40.0
2021-10,2021,Oktober,10,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2021-10,2021,Oktober,10,WZ08-P,Erziehung und Unterricht,6.0,4.0,10.0,66.7
2021-10,2021,Oktober,10,WZ08-Q,Gesundheits- und Sozialwesen,22.0,3.0,25.0,13.6
2021-10,2021,Oktober,10,WZ08-R,"Kunst, Unterhaltung und Erholung",13.0,8.0,21.0,61.5
2021-10,2021,Oktober,10,WZ08-S,Erbringung von sonstigen Dienstleistungen,48.0,24.0,72.0,50.0
2021-11,2021,November,11,WZ08-A,"Land- und Forstwirtschaft, Fischerei",9.0,,,
2021-11,2021,November,11,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2021-11,2021,November,11,WZ08-C,Verarbeitendes Gewerbe,53.0,11.0,64.0,20.8
2021-11,2021,November,11,WZ08-D,Energieversorgung,3.0,2.0,5.0,66.7
2021-11,2021,November,11,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",4.0,,,
2021-11,2021,November,11,WZ08-F,Baugewerbe,147.0,58.0,205.0,39.5
2021-11,2021,November,11,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",117.0,55.0,172.0,47.0
2021-11,2021,November,11,WZ08-H,Verkehr und Lagerei,50.0,23.0,73.0,46.0
2021-11,2021,November,11,WZ08-I,Gastgewerbe,81.0,21.0,102.0,25.9
2021-11,2021,November,11,WZ08-J,Information und Kommunikation,33.0,14.0,47.0,42.4
2021-11,2021,November,11,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,8.0,9.0,17.0,112.5
2021-11,2021,November,11,WZ08-L,Grundstücks- und Wohnungswesen,23.0,12.0,35.0,52.2
2021-11,2021,November,11,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",68.0,47.0,115.0,69.1
2021-11,2021,November,11,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,75.0,38.0,113.0,50.7
2021-11,2021,November,11,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2021-11,2021,November,11,WZ08-P,Erziehung und Unterricht,11.0,1.0,12.0,9.1
2021-11,2021,November,11,WZ08-Q,Gesundheits- und Sozialwesen,20.0,3.0,23.0,15.0
2021-11,2021,November,11,WZ08-R,"Kunst, Unterhaltung und Erholung",15.0,8.0,23.0,53.3
2021-11,2021,November,11,WZ08-S,Erbringung von sonstigen Dienstleistungen,51.0,24.0,75.0,47.1
2021-12,2021,Dezember,12,WZ08-A,"Land- und Forstwirtschaft, Fischerei",13.0,,,
2021-12,2021,Dezember,12,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,1.0,,,
2021-12,2021,Dezember,12,WZ08-C,Verarbeitendes Gewerbe,74.0,15.0,89.0,20.3
2021-12,2021,Dezember,12,WZ08-D,Energieversorgung,4.0,,,
2021-12,2021,Dezember,12,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",2.0,1.0,3.0,50.0
2021-12,2021,Dezember,12,WZ08-F,Baugewerbe,162.0,42.0,204.0,25.9
2021-12,2021,Dezember,12,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",140.0,57.0,197.0,40.7
2021-12,2021,Dezember,12,WZ08-H,Verkehr und Lagerei,63.0,19.0,82.0,30.2
2021-12,2021,Dezember,12,WZ08-I,Gastgewerbe,65.0,21.0,86.0,32.3
2021-12,2021,Dezember,12,WZ08-J,Information und Kommunikation,15.0,7.0,22.0,46.7
2021-12,2021,Dezember,12,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,20.0,9.0,29.0,45.0
2021-12,2021,Dezember,12,WZ08-L,Grundstücks- und Wohnungswesen,39.0,23.0,62.0,59.0
2021-12,2021,Dezember,12,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",75.0,42.0,117.0,56.0
2021-12,2021,Dezember,12,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,86.0,31.0,117.0,36.0
2021-12,2021,Dezember,12,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2021-12,2021,Dezember,12,WZ08-P,Erziehung und Unterricht,11.0,2.0,13.0,18.2
2021-12,2021,Dezember,12,WZ08-Q,Gesundheits- und Sozialwesen,28.0,5.0,33.0,17.9
2021-12,2021,Dezember,12,WZ08-R,"Kunst, Unterhaltung und Erholung",13.0,7.0,20.0,53.8
2021-12,2021,Dezember,12,WZ08-S,Erbringung von sonstigen Dienstleistungen,55.0,14.0,69.0,25.5
2022-01,2022,Januar,1,WZ08-A,"Land- und Forstwirtschaft, Fischerei",6.0,,,
2022-01,2022,Januar,1,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,1.0,1.0,2.0,100.0
2022-01,2022,Januar,1,WZ08-C,Verarbeitendes Gewerbe,78.0,14.0,92.0,17.9
2022-01,2022,Januar,1,WZ08-D,Energieversorgung,3.0,,,
2022-01,2022,Januar,1,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,,,
2022-01,2022,Januar,1,WZ08-F,Baugewerbe,148.0,58.0,206.0,39.2
2022-01,2022,Januar,1,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",104.0,56.0,160.0,53.8
2022-01,2022,Januar,1,WZ08-H,Verkehr und Lagerei,53.0,14.0,67.0,26.4
2022-01,2022,Januar,1,WZ08-I,Gastgewerbe,51.0,33.0,84.0,64.7
2022-01,2022,Januar,1,WZ08-J,Information und Kommunikation,22.0,13.0,35.0,59.1
2022-01,2022,Januar,1,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,13.0,7.0,20.0,53.8
2022-01,2022,Januar,1,WZ08-L,Grundstücks- und Wohnungswesen,20.0,23.0,43.0,115.0
2022-01,2022,Januar,1,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",72.0,41.0,113.0,56.9
2022-01,2022,Januar,1,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,72.0,43.0,115.0,59.7
2022-01,2022,Januar,1,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2022-01,2022,Januar,1,WZ08-P,Erziehung und Unterricht,11.0,1.0,12.0,9.1
2022-01,2022,Januar,1,WZ08-Q,Gesundheits- und Sozialwesen,24.0,5.0,29.0,20.8
2022-01,2022,Januar,1,WZ08-R,"Kunst, Unterhaltung und Erholung",18.0,9.0,27.0,50.0
2022-01,2022,Januar,1,WZ08-S,Erbringung von sonstigen Dienstleistungen,28.0,14.0,42.0,50.0
2022-02,2022,Februar,2,WZ08-A,"Land- und Forstwirtschaft, Fischerei",8.0,1.0,9.0,12.5
2022-02,2022,Februar,2,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2022-02,2022,Februar,2,WZ08-C,Verarbeitendes Gewerbe,75.0,12.0,87.0,16.0
2022-02,2022,Februar,2,WZ08-D,Energieversorgung,2.0,1.0,3.0,50.0
2022-02,2022,Februar,2,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",,2.0,,
2022-02,2022,Februar,2,WZ08-F,Baugewerbe,142.0,64.0,206.0,45.1
2022-02,2022,Februar,2,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",104.0,51.0,155.0,49.0
2022-02,2022,Februar,2,WZ08-H,Verkehr und Lagerei,80.0,15.0,95.0,18.8
2022-02,2022,Februar,2,WZ08-I,Gastgewerbe,74.0,27.0,101.0,36.5
2022-02,2022,Februar,2,WZ08-J,Information und Kommunikation,27.0,12.0,39.0,44.4
2022-02,2022,Februar,2,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,19.0,9.0,28.0,47.4
2022-02,2022,Februar,2,WZ08-L,Grundstücks- und Wohnungswesen,20.0,16.0,36.0,80.0
2022-02,2022,Februar,2,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",78.0,42.0,120.0,53.8
2022-02,2022,Februar,2,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,99.0,36.0,135.0,36.4
2022-02,2022,Februar,2,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2022-02,2022,Februar,2,WZ08-P,Erziehung und Unterricht,12.0,2.0,14.0,16.7
2022-02,2022,Februar,2,WZ08-Q,Gesundheits- und Sozialwesen,16.0,7.0,23.0,43.8
2022-02,2022,Februar,2,WZ08-R,"Kunst, Unterhaltung und Erholung",10.0,5.0,15.0,50.0
2022-02,2022,Februar,2,WZ08-S,Erbringung von sonstigen Dienstleistungen,45.0,19.0,64.0,42.2
2022-03,2022,März,3,WZ08-A,"Land- und Forstwirtschaft, Fischerei",11.0,,,
2022-03,2022,März,3,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,1.0,,,
2022-03,2022,März,3,WZ08-C,Verarbeitendes Gewerbe,78.0,17.0,95.0,21.8
2022-03,2022,März,3,WZ08-D,Energieversorgung,6.0,1.0,7.0,16.7
2022-03,2022,März,3,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",1.0,2.0,3.0,200.0
2022-03,2022,März,3,WZ08-F,Baugewerbe,165.0,73.0,238.0,44.2
2022-03,2022,März,3,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",145.0,62.0,207.0,42.8
2022-03,2022,März,3,WZ08-H,Verkehr und Lagerei,82.0,19.0,101.0,23.2
2022-03,2022,März,3,WZ08-I,Gastgewerbe,80.0,38.0,118.0,47.5
2022-03,2022,März,3,WZ08-J,Information und Kommunikation,27.0,15.0,42.0,55.6
2022-03,2022,März,3,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,23.0,10.0,33.0,43.5
2022-03,2022,März,3,WZ08-L,Grundstücks- und Wohnungswesen,24.0,13.0,37.0,54.2
2022-03,2022,März,3,WZ08-M,"Freiberufliche, wiss. u. techn. Dienstleistungen",73.0,46.0,119.0,63.0
2022-03,2022,März,3,WZ08-N,Sonstige wirtschaftliche Dienstleistungen,105.0,44.0,149.0,41.9
2022-03,2022,März,3,WZ08-O,"Öff. Verwaltung, Verteidigung, Sozialversicherung",,,,
2022-03,2022,März,3,WZ08-P,Erziehung und Unterricht,6.0,5.0,11.0,83.3
2022-03,2022,März,3,WZ08-Q,Gesundheits- und Sozialwesen,31.0,6.0,37.0,19.4
2022-03,2022,März,3,WZ08-R,"Kunst, Unterhaltung und Erholung",16.0,5.0,21.0,31.2
2022-03,2022,März,3,WZ08-S,Erbringung von sonstigen Dienstleistungen,47.0,17.0,64.0,36.2
2022-04,2022,April,4,WZ08-A,"Land- und Forstwirtschaft, Fischerei",10.0,3.0,13.0,30.0
2022-04,2022,April,4,WZ08-B,Bergbau und Gewinnung von Steinen und Erden,,,,
2022-04,2022,April,4,WZ08-C,Verarbeitendes Gewerbe,85.0,16.0,101.0,18.8
2022-04,2022,April,4,WZ08-D,Energieversorgung,8.0,3.0,11.0,37.5
2022-04,2022,April,4,WZ08-E,"Wasserversorg.,Entsorg.,Beseitig.v.Umweltverschm.",2.0,,,
2022-04,2022,April,4,WZ08-F,Baugewerbe,165.0,56.0,221.0,33.9
2022-04,2022,April,4,WZ08-G,"Handel, Instandhaltung und Reparatur von Kfz",132.0,55.0,187.0,41.7
2022-04,2022,April,4,WZ08-H,Verkehr und Lagerei,68.0,30.0,98.0,44.1
2022-04,2022,April,4,WZ08-I,Gastgewerbe,76.0,26.0,102.0,34.2
2022-04,2022,April,4,WZ08-J,Information und Kommunikation,28.0,11.0,39.0,39.3
2022-04,2022,April,4,WZ08-K,Erbringung v. Finanz- u. Versicherungsdienstleist.,24.0,17.0,41.0,70.8
